Feature,Importance
925_temperature_12_bef_day,1609.0
925_wind_speed_12_bef_12,771.0
temperature_2m_00,735.0
925_temperature_00,689.0
925_temperature_18_bef_day,651.0
925_wind_speed_18_bef_day,597.0
925_wind_speed_06,596.0
dew_point_12_bef_day,550.0
925_wind_speed_00,525.0
soil_temp_0_7cm_00,520.0
soil_temp_0_7cm_06,508.0
mid_cloud_cover_06,498.0
dew_point_00,495.0
wind_speed_10m_06,489.0
925_temperature_06,481.0
temperature_2m_06,468.0
dew_point_06,466.0
dew_point_18_bef_day,466.0
mid_cloud_cover_00,459.0
mid_cloud_cover_12_bef_day,391.0
soil_moisture_0_7cm_12_bef_day,380.0
mid_cloud_cover_18_bef_day,376.0
high_cloud_cover_12_bef_day,363.0
high_cloud_cover_00,362.0
wind_speed_10m_00,362.0
high_cloud_cover_18_bef_day,336.0
wind_speed_10m_18_bef_day,306.0
high_cloud_cover_06,289.0
low_cloud_cover_12_bef_day,270.0
soil_temp_0_7cm_12_bef_day,252.0
wind_speed_10m_12_bef_day,251.0
temperature_2m_18_bef_day,245.0
temperature_2m_12_bef_day,204.0
low_cloud_cover_18_bef_day,198.0
low_cloud_cover_00,196.0
low_cloud_cover_06,168.0
soil_moisture_0_7cm_18_bef_day,164.0
soil_temp_0_7cm_18_bef_day,158.0
soil_moisture_0_7cm_06,128.0
soil_moisture_0_7cm_00,127.0
snow_depth_06,17.0
snow_depth_12_bef_day,10.0
snow_depth_18_bef_day,7.0
